id,src,name,genre,plot,rating,year,star,
93,images/Pain-Gain.jpg,Pain & Gain,Comedy,A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.,6.5,2013,Mark Wahlberg-Dwayne Johnson-Anthony Mackie,
94,images/The-Parent-Trap.jpg,The Parent Trap,Comedy,Identical twins separated at birth and each raised by one of their biological parents discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.,6.3,1998,Lindsay Lohan-Dennis Quaid-Natasha Richardson,
95,images/The-Princess-Bride.jpg,The Princess Bride,Comedy,A classic fairy tale with swordplay giants an evil prince a beautiful princess and yes some kissing (as read by a kindly grandfather).,8.2,1987,Cary Elwes-Mandy Patinkin-Robin Wright ,
96,images/The-Goonies.jpg,The Goonies,Comedy,A group of kids set out on an adventure in search of pirate treasure that could save their homes from foreclosure.,7.8,1985,Sean Astin-Josh Brolin-Jeff Cohen,
97,images/Crazy-Stupid-Love.jpg,Crazy Stupid Love. ,Comedy,A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend Jacob learning to pick up girls at bars.,7.5,2011,Steve Carell-Ryan Gosling-Julianne Moore,
98,images/Mrs.-Brown's-Boys-D'Movie.jpg,Mrs. Brown's Boys D'Movie,Comedy,A company tries to shut down Mrs Brown's fruit and veg stall. They can feck off.,3.9,2014,Brendan O'Carroll-Jennifer Gibney-Eilish O'Carroll,
99,images/10-Things-I-Hate-About-You.jpg,10 Things I Hate About You,Comedy,A new kid must find a guy to date the meanest girl in school the older sister of the girl he has a crush on who cannot date until her older sister does.,7.2,1999,Heath Ledger-Julia Stiles-Joseph Gordon-Levitt,
100,images/The-Heat.jpg,The Heat,Comedy,An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.,6.7,2013,Sandra Bullock-Michael McDonald-Melissa McCarthy,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
169,,,,,,,,
170,,,,,,,,
171,,,,,,,,
172,,,,,,,,
173,,,,,,,,
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,,,,,,,,
179,,,,,,,,
180,,,,,,,,
181,,,,,,,,
182,,,,,,,,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,,
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,,,,,,,,
231,,,,,,,,
232,,,,,,,,
233,,,,,,,,
234,,,,,,,,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
240,,,,,,,,
241,,,,,,,,
242,,,,,,,,
243,,,,,,,,
244,,,,,,,,
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,,,,,,,,
